price;discription;location;Bedrooms;Bathrooms;Parking_spaces;floor_size
1195000;2 Bedroom Apartment;Brooklyn;2;2;1;81 m²
520000;2 Bedroom Apartment;Krugersdorp North;2;1;1;79 m²
;;;;;;
1779900;3 Bedroom Apartment;Louwlardia;3;2;2;136 m²
995000;1 Bedroom Apartment;Linksfield;1;1;1;43 m²
699000;1 Bedroom Apartment;Bryanston;1;1;1;52 m²
1379900;2 Bedroom Apartment;Louwlardia;2;2;2;82 m²
1230000;2 Bedroom Apartment;Greenstone Ridge;2;2;2;89 m²
820000;2 Bedroom Apartment;Jackal Creek Golf Estate;2;1;2;59 m²
820000;2 Bedroom Apartment;La Montagne;2;1;1;98 m²
2119900;2 Bedroom Apartment;Waterfall;2;2;2;115 m²
600000;2 Bedroom Apartment;Groblerpark;2;1;1;67 m²
3990000;4 Bedroom Apartment;Linksfield;4;3;2;154 m²
1765000;3 Bedroom Apartment;Kyalami;3;2;2;137 m²
800000;2 Bedroom Apartment;Pomona;2;1;1;70 m²
1699000;2 Bedroom Apartment;Bryanston;2;2;2;83 m²
699000;2 Bedroom Apartment;North Riding;2;1;1;60 m²
590000;2 Bedroom Apartment;Tileba;2;1;1;58 m²
899000;2 Bedroom Apartment;Bromhof;2;1;1;83 m²
1200000;2 Bedroom Apartment;Bryanston;2;2;1;83 m²
620000;2 Bedroom Apartment;Terenure;2;2;1;70 m²
699000;2 Bedroom Apartment;North Riding;2;1;1;60 m²
2990000;3 Bedroom Apartment;Brooklyn;3;2.5;2;120 m²
710000;2 Bedroom Apartment;Montgomery Park;2;1;1;58 m²
;;;;;;
1600000;2 Bedroom Apartment;Sandhurst;2;2;2;89 m²
2250000;2 Bedroom Apartment;Brooklyn;2;2;2;92 m²
625000;2 Bedroom Apartment;Montana;2;1;1;57 m²
520000;1 Bedroom Apartment;Montana;1;1;1;39 m²
1756000;2 Bedroom Apartment;Brooklyn;2;1;2;65 m²
250000;1 Bedroom Apartment;Hamberg;1;1;1;70 m²
595000;2 Bedroom Apartment;Benoni Central;2;1;1;63 m²
1299000;2 Bedroom Apartment;Bryanston;2;1;2;102 m²
2299000;2 Bedroom Apartment;Killarney;2;2;1;166 m²
650000;2 Bedroom Apartment;Honeypark;2;2;2;64 m²
650000;2 Bedroom Apartment;Annlin;2;1;1;68 m²
635000;1 Bedroom Apartment;Aloe Ridge Estate;1;1;1;50 m²
520000;1 Bedroom Apartment;Montana;1;1;1;50 m²
760000;3 Bedroom Apartment;Mindalore;3;2;1;61 m²
1900000;2 Bedroom Apartment;Dunkeld West;2;2.5;1;128 m²
995000;1 Bedroom Apartment;Craighall;1;1;1;61 m²
600000;2 Bedroom Apartment;Clarina;2;1;1;54 m²
420000;0.5 Bedroom Apartment;Annlin;0.5;1;1;38 m²
595000;1 Bedroom Apartment;Bedfordview;1;1;2;49 m²
760000;3 Bedroom Apartment;Mindalore;3;2;1;61 m²
1889000;2 Bedroom Apartment;Lynnwood;2;2;2;83 m²
;;;;;;
1889000;2 Bedroom Apartment;Lynnwood;2;2;2;83 m²
860000;2 Bedroom Apartment;Modderfontein;2;2;6;79 m²
1593000;1 Bedroom Apartment;Sandton Central;1;1;1;59 m²
975000;2 Bedroom Apartment;Halfway Gardens;2;1;2;95 m²
2199999;2 Bedroom Apartment;Bryanston;2;2;2;124 m²
1250000;2 Bedroom Apartment;Rivonia;2;2;2;86 m²
865000;2 Bedroom Apartment;Randpark Ridge;2;1;2;82 m²
1895000;3 Bedroom Apartment;Melrose;3;2;2;126 m²
1450000;2 Bedroom Apartment;Bryanston;2;2;2;81 m²
1100000;2 Bedroom Apartment;Robindale;2;1.5;2;104 m²
799000;2 Bedroom Apartment;Jackal Creek Golf Estate;2;1;1;60 m²
745000;2 Bedroom Apartment;Chancliff Ridge;2;1;1;76 m²
895000;3 Bedroom Apartment;Albertsdal;3;2;1;56 m²
1600000;2 Bedroom Apartment;Beverley;2;2;2;97 m²
2950000;2 Bedroom Apartment;Hyde Park;2;2;2;134 m²
1030000;2 Bedroom Apartment;Pomona;2;2;2;79 m²
785000;2 Bedroom Apartment;Waverley;2;1;1;68 m²
420000;2 Bedroom Apartment;Mindalore;2;1;1;60 m²
1030000;2 Bedroom Apartment;Pomona;2;2;2;79 m²
1150000;2 Bedroom Apartment;Dainfern;2;2;;92 m²
530000;1 Bedroom Apartment;Annlin;1;1;1;49 m²
;;;;;;
1400000;2 Bedroom Apartment;The Hills Game Reserve Estate;2;2;2;88 m²
1899900;3 Bedroom Apartment;The Hills Game Reserve Estate;3;2;2;114 m²
845000;2 Bedroom Apartment;Weltevreden Park;2;1.5;1;93 m²
1899900;3 Bedroom Apartment;The Hills Game Reserve Estate;3;2;2;114 m²
525000;1 Bedroom Apartment;Sundowner;1;1;1;53 m²
1475000;2 Bedroom Apartment;Bryanston;2;2;1;108 m²
465000;2 Bedroom Apartment;Kempton Park Central;2;2;1;77 m²
2189000;2 Bedroom Apartment;Sandringham;2;2;2;104 m²
849000;2 Bedroom Apartment;Weltevreden Park;2;1.5;1;93 m²
1640000;2 Bedroom Apartment;Boardwalk Villas;2;2;1;126 m²
675000;1 Bedroom Apartment;Bryanston;1;1;2;46 m²
700000;1 Bedroom Apartment;Linden;1;1;1;69 m²
410000;1 Bedroom Apartment;Helderkruin;1;1;2;45 m²
930000;2 Bedroom Apartment;Douglasdale;2;1;1;101 m²
1995000;3 Bedroom Apartment;Illovo;3;2;1;177 m²
1050000;2 Bedroom Apartment;Illovo;2;1;1;87 m²
550000;2 Bedroom Apartment;Kempton Park Ext 3;2;1;1;75 m²
1390000;2 Bedroom Apartment;Sunninghill;2;1;2;129 m²
1180000;2 Bedroom Apartment;Vorna Valley;2;2;2;61 m²
1150000;2 Bedroom Apartment;Douglasdale;2;1;2;128 m²
599000;2 Bedroom Apartment;Wilgeheuwel;2;1;1;61 m²
;;;;;;
680000;1 Bedroom Apartment;Kosmosdal;1;1;1;52 m²
585000;2 Bedroom Apartment;Clarina;2;1;1;49 m²
599000;2 Bedroom Apartment;Eastleigh Ridge;2;2;2;65 m²
1565000;2 Bedroom Apartment;Carlswald Estate;2;2;2;108 m²
1500000;2 Bedroom Apartment;Lonehill;2;1;3;101 m²
370000;2 Bedroom Apartment;Randfontein Central;2;1;2;55 m²
1499000;2 Bedroom Apartment;Montana;2;2.5;2;138 m²
890000;3 Bedroom Apartment;Moreleta Park;3;2;2;103 m²
